domain,protocol,packet_count,avg_packet_size,flow_duration,packets_per_second,bytes_per_second,category
ubuntu.com,HTTPS,6,84.0,0.431,13.9,1168.7,other
brave.com,HTTPS,23,184.2,240.173,0.1,17.6,other
amazonaws.com,HTTPS,267,73.8,47.429,5.6,415.7,ecommerce
brave.com,HTTPS,11,226.5,0.077,143.4,32493.5,other
brave.com,HTTPS,11,232.4,0.076,145.3,33768.6,other
brave.com,HTTPS,11,226.6,0.078,140.7,31895.7,other
xhpingcdn.com,HTTPS,11,376.9,0.622,17.7,6670.3,other
xhpingcdn.com,HTTPS,11,388.5,0.621,17.7,6885.1,other
xhpingcdn.com,HTTPS,11,388.5,0.622,17.7,6874.9,other
xhpingcdn.com,HTTPS,11,376.9,0.622,17.7,6668.7,other
xhpingcdn.com,HTTPS,11,388.5,0.622,17.7,6869.6,other
brave.com,HTTPS,38,191.0,380.688,0.1,19.1,other
xhpingcdn.com,HTTPS,12,216.4,0.474,25.3,5474.7,other
anthropic.com,HTTPS,20,188.9,400.127,0.0,9.4,ai_tool
anthropic.com,HTTPS,38,133.3,401.336,0.1,12.6,ai_tool
anthropic.com,HTTPS,251,111.8,413.132,0.6,67.9,ai_tool
google.com,HTTPS,21,250.9,240.112,0.1,21.9,search
pornhat.com,HTTPS,8,299.0,0.396,20.2,6035.7,adult
xhcdn.com,HTTPS,11,240.1,65.650,0.2,40.2,other
xhpingcdn.com,HTTPS,36,134.6,65.215,0.6,74.3,other
xhpingcdn.com,HTTPS,100,91.8,65.651,1.5,139.9,other
xhpingcdn.com,HTTPS,57,109.2,65.208,0.9,95.5,other
xhpingcdn.com,HTTPS,39,129.7,65.362,0.6,77.4,other
xhpingcdn.com,HTTPS,19,196.1,65.247,0.3,57.1,other
xhpingcdn.com,HTTPS,38,130.9,65.197,0.6,76.3,other
xhpingcdn.com,HTTPS,47,119.2,65.203,0.7,85.9,other
xhpingcdn.com,HTTPS,122,88.3,85.187,1.4,126.4,other
pornhub.com,HTTPS,15,189.5,9.187,1.6,309.3,adult
xhpingcdn.com,HTTPS,38,130.5,65.199,0.6,76.1,other
xhpingcdn.com,HTTPS,316,91.3,100.015,3.2,288.3,other
brave.com,HTTPS,20,160.9,513.344,0.0,6.3,other
xhpingcdn.com,HTTPS,15,233.4,65.236,0.2,53.7,other
perplexity.ai,HTTPS,20,186.8,400.123,0.0,9.3,ai_tool
phncdn.com,HTTPS,7,327.0,0.625,11.2,3661.2,other
phncdn.com,HTTPS,7,331.6,0.626,11.2,3709.6,other
phncdn.com,HTTPS,7,336.1,0.626,11.2,3761.3,other
phncdn.com,HTTPS,7,331.6,0.625,11.2,3714.8,other
phncdn.com,HTTPS,7,331.6,0.624,11.2,3716.9,other
imagedelivery.net,HTTPS,22,178.6,400.714,0.1,9.8,other
phncdn.com,HTTPS,10,249.9,0.069,144.5,36120.2,other
phncdn.com,HTTPS,10,249.9,0.072,138.3,34561.3,other
phncdn.com,HTTPS,7,310.9,0.444,15.8,4899.9,other
phncdn.com,HTTPS,7,320.0,0.444,15.8,5043.1,other
phncdn.com,HTTPS,7,310.9,0.462,15.1,4706.8,other
xhpingcdn.com,HTTPS,172,115.1,105.637,1.6,187.3,other
phncdn.com,HTTPS,10,253.1,0.070,142.6,36082.1,other
googleusercontent.com,HTTPS,26,162.3,240.534,0.1,17.5,social_media
phncdn.com,HTTPS,27,153.2,16.156,1.7,256.1,other
pornhat.com,HTTPS,10,249.2,74.910,0.1,33.3,adult
google.com,HTTPS,14,327.7,75.452,0.2,60.8,search
phncdn.com,HTTPS,374,95.4,34.508,10.8,1033.9,other
brave.com,HTTPS,109,128.1,526.557,0.2,26.5,other
google.com,HTTPS,20,198.3,240.120,0.1,16.5,search
google.com,HTTPS,26,227.4,240.577,0.1,24.6,search
google.com,HTTPS,173,440.2,360.741,0.5,211.1,search
phncdn.com,HTTPS,15,230.7,60.349,0.2,57.3,other
phncdn.com,HTTPS,31,180.7,15.716,2.0,356.5,other
brave-http-only.com,HTTPS,9,134.7,93.803,0.1,12.9,other
xhpingcdn.com,HTTPS,11,235.9,0.484,22.7,5358.8,other
xhpingcdn.com,HTTPS,11,235.9,0.488,22.5,5319.5,other
xhpingcdn.com,HTTPS,49,116.8,181.221,0.3,31.6,other
ubuntu.com,HTTPS,6,84.0,0.347,17.3,1451.2,other
xvideos.com,HTTPS,22,419.3,45.828,0.5,201.3,adult
xhpingcdn.com,HTTPS,25,186.3,192.435,0.1,24.2,other
xhpingcdn.com,HTTPS,33,146.5,181.676,0.2,26.6,other
google.com,HTTPS,89,109.6,196.627,0.5,49.6,search
phncdn.com,HTTPS,8,322.2,14.104,0.6,182.8,other
phncdn.com,HTTPS,37,163.5,16.296,2.3,371.3,other
google.com,HTTPS,27,223.0,240.253,0.1,25.1,search
googleusercontent.com,HTTPS,76,120.9,415.010,0.2,22.1,social_media
xhcdn.com,HTTPS,45,133.9,212.778,0.2,28.3,other
xhpingcdn.com,HTTPS,738,94.3,214.908,3.4,323.9,other
azure.com,HTTPS,10,250.3,1.143,8.8,2190.2,productivity
brave.com,HTTPS,35,145.6,240.750,0.1,21.2,other
xhpingcdn.com,HTTPS,50,116.0,65.230,0.8,88.9,other
anthropic.com,HTTPS,38,212.9,621.988,0.1,13.0,ai_tool
bing.com,HTTPS,26,183.0,201.007,0.1,23.7,search
google.com,HTTPS,31,241.3,114.764,0.3,65.2,search
google.com,HTTPS,19,206.6,115.184,0.2,34.1,search
brave.com,HTTPS,28,207.0,308.653,0.1,18.8,other
claude.ai,HTTPS,534,554.5,696.345,0.8,425.2,ai_tool
brave.com,HTTPS,72,233.6,325.678,0.2,51.7,other
microsoft.com,HTTPS,2640,1413.9,253.556,10.4,14721.8,social_media
microsoft.com,HTTPS,545,179.1,562.829,1.0,173.4,social_media
perplexity.ai,HTTPS,259,164.2,630.571,0.4,67.5,ai_tool
xhcdn.com,HTTPS,54,132.4,353.883,0.2,20.2,other
xhpingcdn.com,HTTPS,102,110.0,347.208,0.3,32.3,other
xhpingcdn.com,HTTPS,18,221.3,180.467,0.1,22.1,other
google.com,HTTPS,33,146.4,240.383,0.1,20.1,search
brave.com,HTTPS,80,107.8,373.591,0.2,23.1,other
brave.com,HTTPS,94,224.5,372.906,0.3,56.6,other
google.com,HTTPS,25,175.7,240.276,0.1,18.3,search
youtube.com,HTTPS,39,211.8,231.194,0.2,35.7,streaming
youtube.com,HTTPS,26,167.1,240.144,0.1,18.1,streaming
youtube.com,HTTPS,197,136.9,226.683,0.9,119.0,streaming
youtube.com,HTTPS,201,137.3,229.582,0.9,120.2,streaming
google.com,HTTPS,51,160.2,255.805,0.2,31.9,search
pornhub.com,HTTPS,11,74.0,68.381,0.2,11.9,adult
google.com,HTTPS,34,182.8,245.818,0.1,25.3,search
google.com,HTTPS,105,178.3,265.728,0.4,70.5,search
cloudflare.com,HTTPS,24,172.2,400.529,0.1,10.3,cloud_cdn
xvideos.com,HTTPS,13,204.8,36.315,0.4,73.3,adult
ubuntu.com,HTTPS,6,84.0,0.318,18.9,1585.9,other
xhpingcdn.com,HTTPS,14,260.8,65.171,0.2,56.0,other
fwupd.org,HTTPS,133,71.6,0.462,287.9,20625.3,other
fwupd.org,HTTPS,18,107.3,0.347,51.8,5561.0,other
xhpingcdn.com,HTTPS,18,225.9,180.525,0.1,22.5,other
google.com,HTTPS,19,340.1,111.237,0.2,58.1,search
google.com,HTTPS,40,157.8,481.734,0.1,13.1,search
xhamster19.com,HTTPS,27,230.6,222.729,0.1,27.9,adult
chatgpt.com,HTTPS,2404,544.9,1066.350,2.3,1228.4,ai_tool
xhamster19.com,HTTPS,365,309.0,694.578,0.5,162.4,adult
pornhub.xxx,HTTPS,61,122.5,626.015,0.1,11.9,adult
xhpingcdn.com,HTTPS,16,235.9,65.188,0.2,57.9,other
jsdelivr.net,HTTPS,44,121.6,610.025,0.1,8.8,other
phncdn.com,HTTPS,39,131.4,610.017,0.1,8.4,other
phncdn.com,HTTPS,250,106.4,657.666,0.4,40.5,other
google.com,HTTPS,12,311.1,0.061,198.2,61655.5,search
agego.com,HTTPS,43,129.3,0.941,45.7,5911.9,other
google.com,HTTPS,15,273.4,91.382,0.2,44.9,search
chatgpt.com,HTTPS,102,166.9,1140.208,0.1,14.9,ai_tool
xhpingcdn.com,HTTPS,23125,68.6,740.485,31.2,2143.2,other
youtube.com,HTTPS,674,264.7,580.934,1.2,307.1,streaming
microsoft.com,HTTPS,225,129.3,882.085,0.3,33.0,social_media
phncdn.com,HTTPS,14893,73.0,651.462,22.9,1668.0,other
pornhat.com,HTTPS,11,284.1,0.208,52.9,15035.5,adult
jsdelivr.net,HTTPS,16,216.0,0.112,142.6,30795.0,other
pornhat.com,HTTPS,515,88.4,15.021,34.3,3029.8,adult
brave.com,HTTPS,126,199.6,1.335,94.4,18836.2,other
xhpingcdn.com,HTTPS,43,138.3,93.669,0.5,63.5,other
whatsapp.com,HTTPS,221,253.7,1269.946,0.2,44.1,messaging
google.com,HTTPS,145,176.7,845.729,0.2,30.3,search
perplexity.ai,HTTPS,370,409.4,1041.112,0.4,145.5,ai_tool
ttcache.com,HTTPS,5,431.6,0.569,8.8,3795.1,other
ttcache.com,HTTPS,5,418.8,0.569,8.8,3681.6,other
ttcache.com,HTTPS,11,393.3,1.597,6.9,2709.1,other
ttcache.com,HTTPS,5,412.4,0.561,8.9,3676.3,other
ttcache.com,HTTPS,5,431.6,0.570,8.8,3785.7,other
ttcache.com,HTTPS,11,393.3,1.578,7.0,2741.1,other
ttcache.com,HTTPS,11,393.3,1.586,6.9,2726.9,other
ttcache.com,HTTPS,5,431.6,0.567,8.8,3803.1,other
ttcache.com,HTTPS,5,425.2,0.560,8.9,3799.8,other
ttcache.com,HTTPS,6,56.0,0.143,42.0,2353.2,unknown
ttcache.com,HTTPS,14,212.3,0.889,15.7,3342.7,other
ttcache.com,HTTPS,14,226.0,0.883,15.9,3583.6,other
ttcache.com,HTTPS,14,216.9,0.883,15.8,3436.4,other
ttcache.com,HTTPS,14,226.0,0.887,15.8,3569.1,other
ttcache.com,HTTPS,14,221.4,0.880,15.9,3524.5,other
pornhat.com,HTTPS,7,332.3,1.533,4.6,1517.2,adult
pornhat.com,HTTPS,7,348.1,1.533,4.6,1589.2,adult
agego.com,HTTPS,9,311.3,1.261,7.1,2221.6,other
fhcdngroup.online,HTTPS,8,279.6,0.096,83.7,23404.9,other
fhcdngroup.online,HTTPS,8,283.6,0.103,77.6,21996.4,other
fhcdngroup.online,HTTPS,17,210.8,15.147,1.1,236.6,other
exp-tas.com,HTTPS,14,160.9,4.166,3.4,540.5,other
exp-tas.com,HTTPS,18,174.4,4.167,4.3,753.3,other
ubuntu.com,HTTPS,7,81.4,0.781,9.0,730.2,other
faphouse2.com,HTTPS,9,262.8,0.567,15.9,4174.4,other
faphouse2.com,HTTPS,10,252.7,1.298,7.7,1947.0,other
faphouse2.com,HTTPS,9,262.8,0.566,15.9,4174.8,other
faphouse2.com,HTTPS,9,273.4,0.544,16.5,4520.4,other
pornhat.com,HTTPS,10,246.0,61.524,0.2,40.0,adult
faphouse2.com,HTTPS,9,273.4,0.576,15.6,4269.4,other
faphouse2.com,HTTPS,9,269.9,0.563,16.0,4317.7,other
faphouse2.com,HTTPS,9,273.4,0.545,16.5,4518.2,other
faphouse2.com,HTTPS,9,269.9,0.557,16.2,4363.6,other
faphouse2.com,HTTPS,9,266.3,0.574,15.7,4173.2,other
pornhat.com,HTTPS,11,239.7,62.193,0.2,42.4,adult
faphouse2.com,HTTPS,8,295.4,0.387,20.7,6103.8,other
faphouse2.com,HTTPS,8,295.4,0.372,21.5,6346.1,other
faphouse2.com,HTTPS,8,291.4,0.389,20.5,5987.4,other
fhcdngroup.online,HTTPS,350,88.5,53.894,6.5,574.5,other
fhcdngroup.online,HTTPS,11,230.9,0.160,68.6,15851.6,other
fhcdngroup.online,HTTPS,11,230.9,0.146,75.1,17349.9,other
fhcdngroup.online,HTTPS,330,82.7,22.796,14.5,1197.4,other
faphouse2.com,HTTPS,9,262.8,0.541,16.6,4374.5,other
fhcdngroup.online,HTTPS,283,80.0,34.741,8.1,652.0,other
ahcdn.com,HTTPS,2852,68.4,64.740,44.1,3013.1,other
fhcdngroup.online,HTTPS,17,212.4,27.549,0.6,131.0,other
privatehost.com,HTTPS,22,224.3,82.887,0.3,59.5,social_media
ttcache.com,HTTPS,187,110.6,103.404,1.8,200.1,other
ttcache.com,HTTPS,158,125.3,105.534,1.5,187.6,other
fhcdngroup.online,HTTPS,39,130.1,45.812,0.9,110.7,other
xhpingcdn.com,HTTPS,232,88.1,31.332,7.4,652.4,other
xhpingcdn.com,HTTPS,165,115.2,31.193,5.3,609.4,other
xhamster44.desi,HTTPS,17,325.6,29.960,0.6,184.7,adult
google.com,HTTPS,11,233.4,90.706,0.1,28.3,search
ahcdn.com,HTTPS,13,207.8,90.726,0.1,29.8,other
google.com,HTTPS,23,295.7,117.501,0.2,57.9,search
phncdn.com,HTTPS,11,310.5,16.112,0.7,212.0,other
privatehost.com,HTTPS,17826,71.9,173.853,102.5,7375.1,social_media
google.com,HTTPS,63,111.9,105.384,0.6,66.9,search
agego.com,HTTPS,48,123.7,181.782,0.3,32.7,other
pornhat.com,HTTPS,42,126.7,180.703,0.2,29.4,adult
google.com,HTTPS,28,158.1,169.883,0.2,26.1,search
faphouse2.com,HTTPS,76,253.9,171.348,0.4,112.6,other
xhpingcdn.com,HTTPS,1454,75.3,114.058,12.7,959.9,other
xhpingcdn.com,HTTPS,49,117.1,25.562,1.9,224.4,other
pornhat.com,HTTPS,219,99.7,186.537,1.2,117.0,adult
google.com,HTTPS,94,97.9,167.487,0.6,55.0,search
ttcache.com,HTTPS,14,261.1,63.083,0.2,58.0,other
xhamster44.desi,HTTPS,74,138.7,115.622,0.6,88.7,adult
youtube.com,HTTPS,16,266.9,150.407,0.1,28.4,streaming
xhamster44.desi,HTTPS,30,172.8,77.747,0.4,66.7,adult
ttcache.com,HTTPS,15,260.7,63.111,0.2,62.0,other
xhcdn.com,HTTPS,118,101.3,114.101,1.0,104.8,other
google.com,HTTPS,17,239.0,182.475,0.1,22.3,search
xhpingcdn.com,HTTPS,12,276.1,32.210,0.4,102.9,other
pornhits.quest,HTTPS,86,323.8,39.227,2.2,709.9,adult
youtube.com,HTTPS,320,275.4,11.079,28.9,7956.0,streaming
brave.com,HTTPS,128,185.5,65.127,2.0,364.6,other
google.com,HTTPS,28,184.3,9.897,2.8,521.4,search
brave.com,HTTPS,23,266.3,63.985,0.4,95.7,other
xhpingcdn.com,HTTPS,38,130.2,168.408,0.2,29.4,other
xhamster44.desi,HTTPS,17,212.4,109.785,0.2,32.9,adult
youtube.com,HTTPS,18,212.1,6.746,2.7,565.8,streaming
faphouse.com,HTTPS,17,214.4,167.460,0.1,21.8,other
google.com,HTTPS,38,140.4,169.035,0.2,31.6,search
brave.com,HTTPS,36,247.1,64.721,0.6,137.5,other
xhpingcdn.com,HTTPS,71,100.3,21.797,3.3,326.8,other
ttcache.com,HTTPS,15,254.1,63.084,0.2,60.4,other
jsdelivr.net,HTTPS,25,77.0,219.518,0.1,8.8,other
xhpingcdn.com,HTTPS,2246,79.8,169.739,13.2,1055.9,other
xhpingcdn.com,HTTPS,15,238.9,114.097,0.1,31.4,other
xhpingcdn.com,HTTPS,195,82.6,78.329,2.5,205.7,other
youtube.com,HTTPS,29,335.6,6.022,4.8,1616.0,streaming
xhpingcdn.com,HTTPS,30,180.1,112.791,0.3,47.9,other
xh.partners,HTTPS,17,209.9,116.174,0.1,30.7,other
fhcdngroup.online,HTTPS,35,377.3,72.874,0.5,181.2,other
youtube.com,HTTPS,30,210.1,7.326,4.1,860.2,streaming
xhpingcdn.com,HTTPS,28,185.5,113.975,0.2,45.6,other
google.com,HTTPS,23,270.3,7.810,2.9,795.9,search
google.com,HTTPS,45,176.1,260.632,0.2,30.4,search
xhamster44.desi,HTTPS,18,332.8,65.420,0.3,91.6,adult
quillbot.com,HTTPS,25,237.2,50.375,0.5,117.7,writing_assistant
quillbot.com,HTTPS,18,288.3,5.479,3.3,947.2,writing_assistant
xhpingcdn.com,HTTPS,11,233.0,0.856,12.9,2995.6,other
chapturist.com,HTTPS,9,263.7,0.070,128.7,33938.5,social_media
chapturist.com,HTTPS,9,274.3,0.071,127.0,34843.8,social_media
quillbot.com,HTTPS,27,281.4,14.134,1.9,537.6,writing_assistant
tsyndicate.com,HTTPS,17,282.2,15.717,1.1,305.2,other
google.com,HTTPS,59,111.3,103.846,0.6,63.2,search
brave.com,HTTPS,13,223.2,132.424,0.1,21.9,other
quillbot.com,HTTPS,23,314.8,48.521,0.5,149.2,writing_assistant
youtube.com,HTTPS,81,184.9,150.259,0.5,99.7,streaming
youtube.com,HTTPS,91,128.0,152.149,0.6,76.6,streaming
ubuntu.com,HTTPS,6,84.0,0.342,17.6,1475.4,other
xhpingcdn.com,HTTPS,217,91.2,67.648,3.2,292.4,other
xhpingcdn.com,HTTPS,16,217.8,65.766,0.2,53.0,other
google.com,HTTPS,47,137.1,103.936,0.5,62.0,search
xhpingcdn.com,HTTPS,14,227.7,106.984,0.1,29.8,other
xhpingcdn.com,HTTPS,13,232.6,106.988,0.1,28.3,other
xhpingcdn.com,HTTPS,122,132.0,109.637,1.1,146.9,other
youtube.com,HTTPS,440,178.3,221.745,2.0,353.8,streaming
brave.com,HTTPS,17,216.6,240.058,0.1,15.3,other
brave.com,HTTPS,23,277.6,240.294,0.1,26.6,other
google.com,HTTPS,20,185.6,240.140,0.1,15.5,search
xhcdn.com,HTTPS,19,199.2,182.231,0.1,20.8,other
xhpingcdn.com,HTTPS,20,213.4,182.659,0.1,23.4,other
xhpingcdn.com,HTTPS,112,104.2,182.659,0.6,63.9,other
xhcdn.com,HTTPS,19,214.6,182.646,0.1,22.3,other
youtube.com,HTTPS,758,214.4,57.230,13.2,2840.2,streaming
youtube.com,HTTPS,264,178.6,280.830,0.9,167.9,streaming
xhpingcdn.com,HTTPS,5,66.0,0.184,27.2,1793.1,unknown
xhpingcdn.com,HTTPS,196,81.8,184.638,1.1,86.8,other
xhcdn.com,HTTPS,18,204.8,181.219,0.1,20.3,other
wordtune.com,HTTPS,11,237.0,2.182,5.0,1194.8,writing_assistant
intercom.io,HTTPS,5,419.8,0.244,20.5,8614.9,other
wordtune.com,HTTPS,19,339.1,21.898,0.9,294.2,writing_assistant
intercom.io,HTTPS,21,208.6,19.317,1.1,226.8,other
wordtune.com,HTTPS,10,256.4,1.106,9.0,2318.4,writing_assistant
wordtune.com,HTTPS,12,227.3,1.117,10.7,2442.4,writing_assistant
mmcdn.com,HTTPS,14,231.1,4.624,3.0,699.8,other
mmcdn.com,HTTPS,13,234.0,4.628,2.8,657.3,other
mmcdn.com,HTTPS,12,248.0,4.626,2.6,643.3,other
googleusercontent.com,HTTPS,24,291.4,243.140,0.1,28.8,social_media
youtube.com,HTTPS,25,196.1,242.617,0.1,20.2,streaming
stripe.com,HTTPS,12,215.2,0.025,485.5,104500.9,other
mmcdn.com,HTTPS,6,355.7,3.119,1.9,684.2,other
mmcdn.com,HTTPS,6,361.0,3.121,1.9,694.0,other
google.com,HTTPS,37,138.4,242.987,0.2,21.1,search
googleusercontent.com,HTTPS,32,202.2,244.730,0.1,26.4,social_media
youtube.com,HTTPS,182,140.3,50.351,3.6,507.3,streaming
stripe.com,HTTPS,8,293.8,0.835,9.6,2813.4,other
youtube.com,HTTPS,12,222.3,1.271,9.4,2099.3,streaming
mmcdn.com,HTTPS,12,374.3,0.577,20.8,7783.9,other
mmcdn.com,HTTPS,12,374.3,0.579,20.7,7756.9,other
wordtune.com,HTTPS,18,206.7,62.815,0.3,59.2,writing_assistant
youtube.com,HTTPS,20,227.7,240.327,0.1,18.9,streaming
intercom.io,HTTPS,18,289.8,61.184,0.3,85.3,other
brave.com,HTTPS,17,231.5,240.680,0.1,16.4,other
youtube.com,HTTPS,186,159.2,217.619,0.9,136.1,streaming
wordtune.com,HTTPS,12,219.4,89.815,0.1,29.3,writing_assistant
google.com,HTTPS,226,372.2,301.620,0.7,278.9,search
google.com,HTTPS,13,212.0,62.772,0.2,43.9,search
stripe.com,HTTPS,14,203.6,60.171,0.2,47.4,other
google.com,HTTPS,73,183.3,307.840,0.2,43.5,search
pornhits.quest,HTTPS,16,184.2,71.669,0.2,41.1,adult
google.com,HTTPS,90,106.4,357.873,0.3,26.8,search
mmcdn.com,HTTPS,12,221.5,64.016,0.2,41.5,other
phncdn.com,HTTPS,5,432.8,0.548,9.1,3945.4,other
phncdn.com,HTTPS,5,477.4,0.549,9.1,4350.7,other
xhpingcdn.com,HTTPS,17,232.4,180.942,0.1,21.8,other
phncdn.com,HTTPS,5,413.6,0.549,9.1,3769.1,other
phncdn.com,HTTPS,5,413.6,0.548,9.1,3770.5,other
stripe.com,HTTPS,21,391.6,66.759,0.3,123.2,other
vimeocdn.com,HTTPS,135,135.1,122.947,1.1,148.3,streaming
stripe.com,HTTPS,16,324.0,76.462,0.2,67.8,other
phncdn.com,HTTPS,152,108.3,28.447,5.3,578.6,other
stripe.com,HTTPS,31,474.3,77.743,0.4,189.1,other
phncdn.com,HTTPS,9,290.2,31.329,0.3,83.4,other
stripe.com,HTTPS,12,218.6,101.832,0.1,25.8,other
stripe.com,HTTPS,10,254.7,106.934,0.1,23.8,other
stripe.com,HTTPS,10,257.9,101.772,0.1,25.3,other
phncdn.com,HTTPS,89,113.6,19.298,4.6,523.8,other
ubuntu.com,HTTPS,6,84.0,0.304,19.7,1656.0,other
phncdn.com,HTTPS,145,102.5,23.648,6.1,628.3,other
quillbot.com,HTTPS,133,102.7,475.654,0.3,28.7,writing_assistant
phncdn.com,HTTPS,9,290.2,15.763,0.6,165.7,other
youtube.com,HTTPS,354,122.6,167.809,2.1,258.6,streaming
xhamster44.desi,HTTPS,20,218.6,400.521,0.0,10.9,adult
xhamster44.desi,HTTPS,24,181.5,400.482,0.1,10.9,adult
brave.com,HTTPS,34,178.4,250.232,0.1,24.2,other
xhamster44.desi,HTTPS,77,158.3,405.920,0.2,30.0,adult
whatsapp.com,HTTPS,16,247.5,65.852,0.2,60.1,messaging
phncdn.com,HTTPS,156,86.1,29.041,5.4,462.5,other
doppiocdn.com,HTTPS,43,126.7,400.640,0.1,13.6,other
chapturist.com,HTTPS,270,104.5,407.180,0.7,69.3,social_media
brave.com,HTTPS,50,214.9,257.629,0.2,41.7,other
brave.com,HTTPS,122,115.0,501.167,0.2,28.0,other
brave.com,HTTPS,32,291.9,248.450,0.1,37.6,other
xhcdn.com,HTTPS,7,380.9,0.695,10.1,3836.4,other
xhpingcdn.com,HTTPS,11,233.2,0.880,12.5,2915.7,other
phncdn.com,HTTPS,99,108.3,19.611,5.0,546.7,other
xhpingcdn.com,HTTPS,12,221.8,0.843,14.2,3158.3,other
google.com,HTTPS,66,107.3,246.610,0.3,28.7,search
intercom.io,HTTPS,18,201.0,240.649,0.1,15.0,other
youtube.com,HTTPS,211,150.4,153.114,1.4,207.2,streaming
stripe.com,HTTPS,46,118.1,240.524,0.2,22.6,other
stigg.io,HTTPS,30,173.5,241.316,0.1,21.6,other
stripe.com,HTTPS,88,98.4,243.141,0.4,35.6,other
stripe.com,HTTPS,22,180.7,240.048,0.1,16.6,other
pornhub.org,HTTPS,484,92.5,173.233,2.8,258.4,adult
google.com,HTTPS,46,210.1,248.835,0.2,38.8,search
google.com,HTTPS,27,228.7,243.343,0.1,25.4,search
google.com,HTTPS,72,100.1,240.144,0.3,30.0,search
google.com,HTTPS,37,203.8,244.678,0.2,30.8,search
xhpingcdn.com,HTTPS,48,123.5,65.203,0.7,90.9,other
